trialStress(2),trialStrain(2),FI_MT,r2Plus,d2Plus
   0.3958520799339373E-01,   0.7740441482805182E-02,   0.1760457769259993E+01,   0.1760457769259993E+01,   0.4383139770758449E+00
   0.3924218800282470E-01,   0.7804412073572167E-02,   0.1787802601025189E+01,   0.1787802601025189E+01,   0.4471285560963115E+00
   0.3890504999995534E-01,   0.7868382664339152E-02,   0.1815357196626496E+01,   0.1815357196626496E+01,   0.4557420499176932E+00
   0.3857363235086653E-01,   0.7932353255106137E-02,   0.1843121556063914E+01,   0.1843121556063914E+01,   0.4641605343138464E+00
   0.3824777952747677E-01,   0.7996323845873121E-02,   0.1871095679337440E+01,   0.1871095679337440E+01,   0.4723898569565494E+00
   0.3792734181457793E-01,   0.8060294436640107E-02,   0.1899279566447078E+01,   0.1899279566447078E+01,   0.4804356476295329E+00
   0.3761217503385191E-01,   0.8124265027407091E-02,   0.1927673217392825E+01,   0.1927673217392825E+01,   0.4883033279121419E+00
   0.3730214028371853E-01,   0.8188235618174076E-02,   0.1956276632174684E+01,   0.1956276632174684E+01,   0.4959981203639241E+00
   0.3699710369395545E-01,   0.8252206208941062E-02,   0.1985089810792652E+01,   0.1985089810792652E+01,   0.5035250572393503E+00
   0.3669693619411013E-01,   0.8316176799708046E-02,   0.2014112753246729E+01,   0.2014112753246729E+01,   0.5108889887599867E+00
   0.3640151329479899E-01,   0.8380147390475032E-02,   0.2043345459536918E+01,   0.2043345459536918E+01,   0.5180945909696425E+00
   0.3611071488105601E-01,   0.8444117981242016E-02,   0.2072787929663215E+01,   0.2072787929663215E+01,   0.5251463731963786E+00
   0.3582442501695499E-01,   0.8508088572009001E-02,   0.2102440163625624E+01,   0.2102440163625624E+01,   0.5320486851437368E+00
   0.3554253176078721E-01,   0.8572059162775987E-02,   0.2132302161424143E+01,   0.2132302161424143E+01,   0.5388057236321169E+00
   0.3526492699012764E-01,   0.8636029753542971E-02,   0.2162373923058771E+01,   0.2162373923058771E+01,   0.5454215390099169E+00
   0.3499150623617150E-01,   0.8700000344309957E-02,   0.2192655448529510E+01,   0.2192655448529510E+01,   0.5519000412528161E+00
   0.3472216852676673E-01,   0.8763970935076941E-02,   0.2223146737836358E+01,   0.2223146737836358E+01,   0.5582450057684397E+00
   0.3445681623760855E-01,   0.8827941525843926E-02,   0.2253847790979318E+01,   0.2253847790979318E+01,   0.5644600789225750E+00
   0.3419535495109996E-01,   0.8891912116610912E-02,   0.2284758607958386E+01,   0.2284758607958386E+01,   0.5705487833021179E+00
   0.3393769332241577E-01,   0.8955882707377896E-02,   0.2315879188773565E+01,   0.2315879188773565E+01,   0.5765145227290058E+00
   0.3368374295234058E-01,   0.9019853298144882E-02,   0.2347209533424855E+01,   0.2347209533424855E+01,   0.5823605870385220E+00
   0.3343341826647934E-01,   0.9083823888911866E-02,   0.2378749641912254E+01,   0.2378749641912254E+01,   0.5880901566345595E+00
   0.3318663640046712E-01,   0.9147794479678851E-02,   0.2410499514235764E+01,   0.2410499514235764E+01,   0.5937063068336754E+00
   0.3294331709082885E-01,   0.9211765070445837E-02,   0.2442459150395384E+01,   0.2442459150395384E+01,   0.5992120120090672E+00
   0.3270338257116423E-01,   0.9275735661212821E-02,   0.2474628550391113E+01,   0.2474628550391113E+01,   0.6046101495449410E+00
   0.3246675747335259E-01,   0.9339706251979807E-02,   0.2507007714222953E+01,   0.2507007714222953E+01,   0.6099035036111403E+00
   0.3223336873349445E-01,   0.9403676842746790E-02,   0.2539596641890903E+01,   0.2539596641890903E+01,   0.6150947687673118E+00
   0.3200314550232306E-01,   0.9467647433513776E-02,   0.2572395333394963E+01,   0.2572395333394963E+01,   0.6201865534053663E+00
   0.3177601905983748E-01,   0.9531618024280760E-02,   0.2605403788735134E+01,   0.2605403788735134E+01,   0.6251813830384785E+00
   0.3155192273392397E-01,   0.9595588615047746E-02,   0.2638622007911414E+01,   0.2638622007911414E+01,   0.6300817034444031E+00
   0.3133079182274748E-01,   0.9659559205814731E-02,   0.2672049990923806E+01,   0.2672049990923806E+01,   0.6348898836704413E+00
   0.3111256352070869E-01,   0.9723529796581715E-02,   0.2705687737772306E+01,   0.2705687737772306E+01,   0.6396082189069827E+00
   0.3089717684777409E-01,   0.9787500387348701E-02,   0.2739535248456917E+01,   0.2739535248456917E+01,   0.6442389332361563E+00
   0.3068457258199972E-01,   0.9851470978115685E-02,   0.2773592522977637E+01,   0.2773592522977637E+01,   0.6487841822617597E+00
   0.3047469319507891E-01,   0.9915441568882671E-02,   0.2807859561334469E+01,   0.2807859561334469E+01,   0.6532460556262998E+00
   0.3026748279075519E-01,   0.9979412159649656E-02,   0.2842336363527410E+01,   0.2842336363527410E+01,   0.6576265794206509E+00
   0.3006288704595123E-01,   0.1004338275041664E-01,   0.2877022929556461E+01,   0.2877022929556461E+01,   0.6619277184915422E+00
   0.2986085315447307E-01,   0.1010735334118363E-01,   0.2911919259421623E+01,   0.2911919259421623E+01,   0.6661513786517983E+00
   0.2966132977315784E-01,   0.1017132393195061E-01,   0.2947025353122894E+01,   0.2947025353122894E+01,   0.6702994087979914E+00
   0.2946426697034021E-01,   0.1023529452271760E-01,   0.2982341210660276E+01,   0.2982341210660276E+01,   0.6743736029399205E+00
   0.2926961617652083E-01,   0.1029926511348458E-01,   0.3017866832033768E+01,   0.3017866832033768E+01,   0.6783757021460854E+00
   0.2907733013712618E-01,   0.1036323570425157E-01,   0.3053602217243369E+01,   0.3053602217243369E+01,   0.6823073964091142E+00
   0.2888736286725573E-01,   0.1042720629501855E-01,   0.3089547366289082E+01,   0.3089547366289082E+01,   0.6861703264348893E+00
   0.2869966960831855E-01,   0.1049117688578553E-01,   0.3125702279170904E+01,   0.3125702279170904E+01,   0.6899660853589172E+00
   0.2851420678646650E-01,   0.1055514747655252E-01,   0.3162066955888837E+01,   0.3162066955888837E+01,   0.6936962203933132E+00
   0.2833093197273709E-01,   0.1061911806731951E-01,   0.3198641396442879E+01,   0.3198641396442879E+01,   0.6973622344075827E+00
   0.2814980384482291E-01,   0.1068308865808649E-01,   0.3235425600833031E+01,   0.3235425600833031E+01,   0.7009655874462334E+00
   0.2797078215039018E-01,   0.1074705924885348E-01,   0.3272419569059294E+01,   0.3272419569059294E+01,   0.7045076981860843E+00
   0.2779382767187256E-01,   0.1081102983962046E-01,   0.3309623301121666E+01,   0.3309623301121666E+01,   0.7079899453359976E+00
   0.2761890219267046E-01,   0.1087500043038745E-01,   0.3347036797020150E+01,   0.3347036797020150E+01,   0.7114136689816235E+00
   0.2744596846469038E-01,   0.1093897102115443E-01,   0.3384660056754743E+01,   0.3384660056754743E+01,   0.7147801718776092E+00
   0.2727499017716121E-01,   0.1100294161192142E-01,   0.3422493080325446E+01,   0.3422493080325446E+01,   0.7180907206896137E+00
   0.2710593192666921E-01,   0.1106691220268840E-01,   0.3460535867732260E+01,   0.3460535867732260E+01,   0.7213465471883389E+00
   0.2693875918835550E-01,   0.1113088279345538E-01,   0.3498788418975183E+01,   0.3498788418975183E+01,   0.7245488493976913E+00
   0.2677343828822268E-01,   0.1119485338422237E-01,   0.3537250734054217E+01,   0.3537250734054217E+01,   0.7276987926990754E+00
   0.2660993637650128E-01,   0.1125882397498935E-01,   0.3575922812969360E+01,   0.3575922812969360E+01,   0.7307975108937259E+00
   0.2644822140202750E-01,   0.1132279456575634E-01,   0.3614804655720615E+01,   0.3614804655720615E+01,   0.7338461072248934E+00
   0.2628826208758782E-01,   0.1138676515652333E-01,   0.3653896262307979E+01,   0.3653896262307979E+01,   0.7368456553616085E+00
   0.2613002790618717E-01,   0.1145073574729031E-01,   0.3693197632731453E+01,   0.3693197632731453E+01,   0.7397972003456676E+00
   0.2597348905820036E-01,   0.1151470633805730E-01,   0.3732708766991037E+01,   0.3732708766991037E+01,   0.7427017595034049E+00
   0.2581861644936788E-01,   0.1157867692882428E-01,   0.3772429665086730E+01,   0.3772429665086730E+01,   0.7455603233237383E+00
   0.2566538166959960E-01,   0.1164264751959126E-01,   0.3812360327018536E+01,   0.3812360327018536E+01,   0.7483738563039120E+00
   0.2551375697255150E-01,   0.1170661811035825E-01,   0.3852500752786451E+01,   0.3852500752786451E+01,   0.7511432977642833E+00
   0.2536371525594207E-01,   0.1177058870112523E-01,   0.3892850942390475E+01,   0.3892850942390475E+01,   0.7538695626334480E+00
   0.2521523004257730E-01,   0.1183455929189222E-01,   0.3933410895830610E+01,   0.3933410895830610E+01,   0.7565535422049272E+00
   0.2506827546205399E-01,   0.1189852988265920E-01,   0.3974180613106855E+01,   0.3974180613106855E+01,   0.7591961048665921E+00
   0.2492282623311299E-01,   0.1196250047342619E-01,   0.4015160094219210E+01,   0.4015160094219210E+01,   0.7617980968039415E+00
   0.2477885764661516E-01,   0.1202647106419318E-01,   0.4056349339167675E+01,   0.4056349339167675E+01,   0.7643603426783003E+00
   0.2463634554911445E-01,   0.1209044165496016E-01,   0.4097748347952250E+01,   0.4097748347952250E+01,   0.7668836462809543E+00
   0.2449526632700320E-01,   0.1215441224572715E-01,   0.4139357120572935E+01,   0.4139357120572935E+01,   0.7693687911641957E+00
   0.2435559689120637E-01,   0.1221838283649413E-01,   0.4181175657029731E+01,   0.4181175657029731E+01,   0.7718165412502039E+00
   0.2421731466240244E-01,   0.1228235342726111E-01,   0.4223203957322637E+01,   0.4223203957322637E+01,   0.7742276414186497E+00
   0.2408039755674960E-01,   0.1234632401802810E-01,   0.4265442021451653E+01,   0.4265442021451653E+01,   0.7766028180738662E+00
   0.2394482397209675E-01,   0.1241029460879508E-01,   0.4307889849416778E+01,   0.4307889849416778E+01,   0.7789427796923989E+00
   0.2381057277466034E-01,   0.1247426519956207E-01,   0.4350547441218015E+01,   0.4350547441218015E+01,   0.7812482173517030E+00
   0.2367762328614834E-01,   0.1253823579032905E-01,   0.4393414796855361E+01,   0.4393414796855361E+01,   0.7835198052407295E+00
   0.2354595527131344E-01,   0.1260220638109604E-01,   0.4436491916328817E+01,   0.4436491916328817E+01,   0.7857582011531058E+00
   0.2341554892591931E-01,   0.1266617697186303E-01,   0.4479778799638384E+01,   0.4479778799638384E+01,   0.7879640469635840E+00
   0.2328638486510309E-01,   0.1273014756263001E-01,   0.4523275446784060E+01,   0.4523275446784060E+01,   0.7901379690884063E+00
   0.2315844411211926E-01,   0.1279411815339699E-01,   0.4566981857765847E+01,   0.4566981857765847E+01,   0.7922805789302019E+00
   0.2303170808745010E-01,   0.1285808874416398E-01,   0.4610898032583743E+01,   0.4610898032583743E+01,   0.7943924733080092E+00
   0.2290615859826848E-01,   0.1292205933493096E-01,   0.4655023971237751E+01,   0.4655023971237751E+01,   0.7964742348729885E+00
   0.2278177782823986E-01,   0.1298602992569795E-01,   0.4699359673727868E+01,   0.4699359673727868E+01,   0.7985264325103669E+00
   0.2265854832765060E-01,   0.1305000051646493E-01,   0.4743905140054095E+01,   0.4743905140054095E+01,   0.8005496217281347E+00
   0.2253645300385007E-01,   0.1311397110723192E-01,   0.4788660370216432E+01,   0.4788660370216432E+01,   0.8025443450329905E+00
   0.2241547511199513E-01,   0.1317794169799890E-01,   0.4833625364214880E+01,   0.4833625364214880E+01,   0.8045111322940111E+00
   0.2229559824608581E-01,   0.1324191228876589E-01,   0.4878800122049437E+01,   0.4878800122049437E+01,   0.8064505010944998E+00
   0.2217680633028073E-01,   0.1330588287953288E-01,   0.4924184643720107E+01,   0.4924184643720107E+01,   0.8083629570724573E+00
   0.2205908361048308E-01,   0.1336985347029986E-01,   0.4969778929226885E+01,   0.4969778929226885E+01,   0.8102489942500843E+00
   0.2194241464618626E-01,   0.1343382406106684E-01,   0.5015582978569773E+01,   0.5015582978569773E+01,   0.8121090953527272E+00
   0.2182678430257038E-01,   0.1349779465183383E-01,   0.5061596791748770E+01,   0.5061596791748770E+01,   0.8139437321176449E+00
   0.2171217774284010E-01,   0.1356176524260081E-01,   0.5107820368763878E+01,   0.5107820368763878E+01,   0.8157533655929721E+00
